Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Darriaut, R; Antonielli, L; Martins, G; Ballestra, P; Vivin, P; Marguerit, E; Mitter, B; Masneuf-Pomarede, I; Compant, S; Ollat, N; Lauvergeat, V",,,,"Darriaut, Romain; Antonielli, Livio; Martins, Guilherme; Ballestra, Patricia; Vivin, Philippe; Marguerit, Elisa; Mitter, Birgit; Masneuf-Pomarede, Isabelle; Compant, Stephane; Ollat, Nathalie; Lauvergeat, Virginie",,,Soil composition and rootstock genotype drive the root associated microbial communities in young grapevines,FRONTIERS IN MICROBIOLOGY,,,,,,,,,,,,,,,,,,"Vivin, Philippe/0000-0003-1629-8107; Lauvergeat, Virginie/0000-0002-5950-2051; Antonielli, Livio/0000-0002-7140-8359",,,,,,,,,,,,,,1664-302X,,,,10-Nov,2022,13,,,,,,,,1031064,10.3389/fmicb.2022.1031064,http://dx.doi.org/10.3389/fmicb.2022.1031064,,,,,,,,36439844,,,,,WOS:000889221900001,View Full Record in Web of Science
J,"Cheng, J; Li, HQ; Wang, WR; Duan, CQ; Wang, J; He, F",,,,"Cheng, Jing; Li, Huiqing; Wang, Wenran; Duan, Changqing; Wang, Jun; He, Fei",,,The influence of rootstocks on the scions' aromatic profiles of Vitis vinifera L. cv. Chardonnay,SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0304-4238,1879-1018,,,,15-Oct,2020,272,,,,,,,,109517,10.1016/j.scienta.2020.109517,http://dx.doi.org/10.1016/j.scienta.2020.109517,,,,,,,,,,,,,WOS:000555142800019,View Full Record in Web of Science
J,"Miele, A; Rizzon, LA",,,,"Miele, Alberto; Rizzon, Luiz Antenor",,,Rootstock-scion interaction: 3. Effect on the composition of Cabernet Sauvignon wine,REVISTA BRASILEIRA DE FRUTICULTURA,,,,,,,,,,,,,,,,,,"Miele, Alberto/0000-0001-9465-570X",,,,,,,,,,,,,0100-2945,,,,,,2019,41,1,,,,,,,e-642,10.1590/0100-29452019642,http://dx.doi.org/10.1590/0100-29452019642,,,,,,,,,,,,,WOS:000460644800001,View Full Record in Web of Science
J,"Waite, H; Armengol, J; Billones-Baaijens, R; Gramaje, D; Halleen, F; Di Marco, S; Smart, R",,,,"Waite, Helen; Armengol, Josep; Billones-Baaijens, Regina; Gramaje, David; Halleen, Francois; Di Marco, Stefano; Smart, Richard",,,A protocol for the management of grapevine rootstock mother vines to reduce latent infections by grapevine trunk pathogens in cuttings,PHYTOPATHOLOGIA MEDITERRANEA,,,,,,,,,,,,,,,,,"Armengol, Josep/HJY-5906-2023; Di Marco, Stefano/B-7347-2015; Gramaje, David/M-7006-2017","Armengol, Josep/0000-0003-3815-8578; Di Marco, Stefano/0000-0002-2786-4277; Gramaje, David/0000-0003-1755-3413; Halleen, Francois/0000-0002-2348-1201",,,,,,,,,,,,,0031-9465,,,,,DEC,2018,57,3,,,SI,,384,398,,10.14601/Phytopathol_Mediterr-22772,http://dx.doi.org/10.14601/Phytopathol_Mediterr-22772,,,,,,,,,,,,,WOS:000455042000004,View Full Record in Web of Science
J,"Aryan, A; Musetti, R; Riedle-Bauer, M; Brader, G",,,,"Aryan, Amal; Musetti, Rita; Riedle-Bauer, Monika; Brader, Guenter",,,Phytoplasma Transmission by Heterologous Grafting Influences Viability of the Scion and Results in Early Symptom Development in Periwinkle Rootstock,JOURNAL OF PHYTOPATHOLOGY,,,,,,,,,,,,,,,,,"Musetti, Rita/AAK-1282-2020","Musetti, Rita/0000-0001-8459-0869",,,,,,,,,,,,,0931-1785,1439-0434,,,,SEP,2016,164,9,,,,,631,640,,10.1111/jph.12486,http://dx.doi.org/10.1111/jph.12486,,,,,,,,,,,,,WOS:000383566500006,View Full Record in Web of Science
J,"Hoffmann, M; Ruehl, EH; Eisenbeis, G; Huber, L",,,,"Hoffmann, M.; Ruehl, E. H.; Eisenbeis, G.; Huber, L.",,,Indications for rootstock related ecological preferences of grape phylloxera (Daktulosphaira vitifoliae Fitch),VITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0042-7500,,,,,,2015,54,3,,,,,137,142,,,,,,,,,,,,,,,,WOS:000361345900005,View Full Record in Web of Science
J,"Somkuwar, RG; Taware, PB; Bhange, MA; Sharma, J; Khan, I",,,,"Somkuwar, Ramhari G.; Taware, Pravin B.; Bhange, Mahadev A.; Sharma, Jagdev; Khan, Ishrat",,,"Influence of Different Rootstocks on Growth, Photosynthesis, Biochemical Composition, and Nutrient Contents in 'Fantasy Seedless' Grapes",INTERNATIONAL JOURNAL OF FRUIT SCIENCE,,,,,,,,,,,,,,,,,"Sharma, Jagdev/AGU-5088-2022",,,,,,,,,,,,,,1553-8362,,,,,,2015,15,3,,,,,251,266,,10.1080/15538362.2015.1031564,http://dx.doi.org/10.1080/15538362.2015.1031564,,,,,,,,,,,,,WOS:000409793800002,View Full Record in Web of Science
J,"Benjamin, G; Tietel, Z; Porat, R",,,,"Benjamin, Gili; Tietel, Zipora; Porat, Ron",,,Effects of Rootstock/Scion Combinations on the Flavor of Citrus Fruit,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0021-8561,1520-5118,,,,27-Nov,2013,61,47,,,,,11286,11294,,10.1021/jf402892p,http://dx.doi.org/10.1021/jf402892p,,,,,,,,24219601,,,,,WOS:000327812500006,View Full Record in Web of Science
J,"Sharma, J; Upadhyay, AK; Bande, D; Patil, SD",,,,"Sharma, Jagdev; Upadhyay, Ajay Kumar; Bande, Dnyanesh; Patil, Sarika D.",,,SUSCEPTIBILITY OF THOMPSON SEEDLESS GRAPEVINES RAISED ON DIFFERENT ROOTSTOCKS TO LEAF BLACKENING AND NECROSIS UNDER SALINE IRRIGATION,JOURNAL OF PLANT NUTRITION,,,,,,,,,,,,,,,,,"sharma, jagdev/U-9556-2017; Sharma, Jagdev/AGU-5088-2022",,,,,,,,,,,,,,0190-4167,1532-4087,,,,,2011,34,11-Sep,,,,,1711,1722,,10.1080/01904167.2011.592566,http://dx.doi.org/10.1080/01904167.2011.592566,,,,,,,,,,,,,WOS:000295313100037,View Full Record in Web of Science
J,"Satisha, J; Prakash, GS; Murti, GSR; Upreti, KK",,,,"Satisha, J.; Prakash, G. S.; Murti, G. S. R.; Upreti, K. K.",,,Water stress and rootstocks influences on hormonal status of budded grapevine,EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611-4426,1611-4434,,,,OCT,2007,72,5,,,,,202,205,,,,,,,,,,,,,,,,WOS:000251999200003,View Full Record in Web of Science
C,"Koblet, W; Keller, M; Candolfi-Vasconcelos, MC",,"Poni, S; Peterlunger, E; Iacono, F; Intrieri, C",,"Koblet, W; Keller, M; Candolfi-Vasconcelos, MC",,,"Effects of training system, canopy management practices, crop load and rootstock on grapevine photosynthesis",FIRST ISHS WORKSHOP ON STRATEGIES TO OPTIMIZE WINE GRAPE QUALITY,ACTA HORTICULTURAE,,,,1st ISHS Workshop on Strategies to Optimize Wine Quality,"JUL 09-12, 1995","CONEGLIANO, ITALY","Int Soc Hort Sci, Sect Viticulture,Scuola Tecn Enolog, Padova,Ist Sperimentale Viticoltura, conegliano,Ctr Reg Ric & Formazione Settore Viti Vinicolo, Conegliano,Univ Padova,Accademia Italiana Vite & Vino,Univ Bologna",,,,,,,,,"Vasconcelos, M Carmo/B-5973-2008","Vasconcelos, M Carmo/0000-0002-3070-6317",,,,,,,,,,,,,0567-7572,,90-6605-908-7,,,,1996,,427,,,,,133,140,,10.17660/ActaHortic.1996.427.16,http://dx.doi.org/10.17660/ActaHortic.1996.427.16,,,,,,,,,,,,,WOS:000071638900016,View Full Record in Web of Science
J,"Vondras, AM; Lerno, L; Massonnet, M; Minio, A; Rowhani, A; Liang, DR; Garcia, J; Quiroz, D; Figueroa-Balderas, R; Golino, DA; Ebeler, SE; Al Rwahnih, M; Cantu, D",,,,"Vondras, Amanda M.; Lerno, Larry; Massonnet, Melanie; Minio, Andrea; Rowhani, Adib; Liang, Dingren; Garcia, Jadran; Quiroz, Daniela; Figueroa-Balderas, Rosa; Golino, Deborah A.; Ebeler, Susan E.; Al Rwahnih, Maher; Cantu, Dario",,,Rootstock influences the effect of grapevine leafroll-associated viruses on berry development and metabolism via abscisic acid signalling,MOLECULAR PLANT PATHOLOGY,,,,,,,,,,,,,,,,,"Massonnet, Melanie/GSN-3679-2022; Cantu, Dario/E-7658-2010","Cantu, Dario/0000-0002-4858-1508; Garcia-Navarrete, Jadran/0000-0002-5883-4820; Massonnet, Melanie/0000-0003-0993-9148",,,,,,,,,,,,,1464-6722,1364-3703,,,,AUG,2021,22,8,,,,,984,1005,,10.1111/mpp.13077,http://dx.doi.org/10.1111/mpp.13077,,Jun-21,,,,,,34075700,,,,,WOS:000656701900001,View Full Record in Web of Science
J,"Maimaitiyiming, M; Sagan, V; Sidike, P; Kwasniewski, MT",,,,"Maimaitiyiming, Matthew; Sagan, Vasit; Sidike, Paheding; Kwasniewski, Misha T.",,,Dual Activation Function-Based Extreme Learning Machine (ELM) for Estimating Grapevine Berry Yield and Quality,REMOTE SENSING,,,,,,,,,,,,,,,,,"Kwasniewski, Misha/HPH-1262-2023; Maimaitiyiming, Matthew/Q-6950-2019","Maimaitiyiming, Matthew/0000-0002-4241-6181; Sagan, Vasit/0000-0003-4375-2096; Kwasniewski, Misha/0000-0003-3097-9638; /0000-0003-4712-9672",,,,,,,,,,,,,,2072-4292,,,,01-Apr,2019,11,7,,,,,,,740,10.3390/rs11070740,http://dx.doi.org/10.3390/rs11070740,,,,,,,,,,,,,WOS:000465549300005,View Full Record in Web of Science
J,"Marguerit, E; Brendel, O; Lebon, E; Van Leeuwen, C; Ollat, N",,,,"Marguerit, Elisa; Brendel, Oliver; Lebon, Eric; Van Leeuwen, Cornelis; Ollat, Nathalie",,,Rootstock control of scion transpiration and its acclimation to water deficit are controlled by different genes,NEW PHYTOLOGIST,,,,,,,,,,,,,,,,,"Brendel, Oliver/B-9266-2013","Brendel, Oliver/0000-0003-3252-0273; van Leeuwen, Cornelis/0000-0002-9428-0167",,,,,,,,,,,,,0028-646X,1469-8137,,,,APR,2012,194,2,,,,,416,429,,10.1111/j.1469-8137.2012.04059.x,http://dx.doi.org/10.1111/j.1469-8137.2012.04059.x,,,,,,,,22335501,,,,,WOS:000302618300013,View Full Record in Web of Science
J,"Iacono, F; Buccella, A; Peterlunger, E",,,,"Iacono, F; Buccella, A; Peterlunger, E",,,Water stress and rootstock influence on leaf gas exchange of grafted and ungrafted grapevines,SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0304-4238,,,,,16-Jun,1998,75,02-Jan,,,,,27,39,,10.1016/S0304-4238(98)00113-7,http://dx.doi.org/10.1016/S0304-4238(98)00113-7,,,,,,,,,,,,,WOS:000074623200003,View Full Record in Web of Science
J,"STRIEGLER, RK; HOWELL, GS; FLORE, JA",,,,"STRIEGLER, RK; HOWELL, GS; FLORE, JA",,,INFLUENCE OF ROOTSTOCK ON THE RESPONSE OF SEYVAL GRAPEVINES TO FLOODING STRESS,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0002-9254,1943-7749,,,,,1993,44,3,,,,,313,319,,,,,,,,,,,,,,,,WOS:A1993LW21700013,View Full Record in Web of Science
J,"Gramaje, D; Eichmeier, A; Spetik, M; Carbone, MJ; Bujanda, R; Vallance, J; Rey, P",,,,"Gramaje, David; Eichmeier, Ales; Spetik, Milan; Carbone, Maria Julia; Bujanda, Rebeca; Vallance, Jessica; Rey, Patrice",,,"Exploring the Temporal Dynamics of the Fungal Microbiome in Rootstocks, the Lesser-Known Half of the Grapevine Crop",JOURNAL OF FUNGI,,,,,,,,,,,,,,,,,"Špetík, Milan/AAE-1406-2021; Eichmeier, Aleš/F-1209-2016; Gramaje, David/M-7006-2017","Špetík, Milan/0000-0001-7659-8852; Eichmeier, Aleš/0000-0001-7358-3903; Carbone, Maria Julia/0000-0003-1845-9277; Gramaje, David/0000-0003-1755-3413",,,,,,,,,,,,,,2309-608X,,,,MAY,2022,8,5,,,,,,,421,10.3390/jof8050421,http://dx.doi.org/10.3390/jof8050421,,,,,,,,35628677,,,,,WOS:000803525500001,View Full Record in Web of Science
J,"Tecchio, MA; da Silva, MJR; Sanchez, CAPC; Callili, D; Vedoato, BTF; Hernandes, JL; Moura, MF",,,,"Tecchio, Marco Antonio; da Silva, Marlon Jocimar Rodrigues; Sanchez, Camilo Andre Pereira Contreras; Callili, Daniel; Vedoato, Bruna Thais Ferracioli; Hernandes, Jose Luiz; Moura, Mara Fernandes",,,Yield performance and quality of wine grapes (Vitis vinifera) grafted onto different rootstocks under subtropical conditions,BRAGANTIA,,,,,,,,,,,,,,,,,"Moura, Mara/AGY-9987-2022; Hernandes, Jose Luiz/E-1962-2013","Moura, Mara/0000-0002-1327-5527; Callili, Daniel/0000-0001-8130-0918; Hernandes, Jose Luiz/0000-0003-1788-9988; Pereira Contreras Sanchez, Camilo Andre/0000-0003-0537-539X",,,,,,,,,,,,,0006-8705,1678-4499,,,,,2022,81,,,,,,,,e1622,10.1590/1678-4499.20210214,http://dx.doi.org/10.1590/1678-4499.20210214,,,,,,,,,,,,,WOS:000771022300001,View Full Record in Web of Science
J,"Yin, YG; Jia, N; Li, MM; Liu, CJ; Yuan, JW; Han, B; Sun, Y; Zhao, SJ; Guo, ZJ",,,,"Yin, Yonggang; Jia, Nan; Li, Minmin; Liu, Changjiang; Yuan, Junwei; Han, Bin; Sun, Yan; Zhao, Shengjian; Guo, Zijuan",,,"Rootstocks induce shifts in tree vigor, yield and berry quality of 'Summer Black' grapevines",EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,,,,,,,,,,,,,,,,,"Liu, changjiang/AAW-4754-2021","Yin, Yonggang/0000-0003-1295-1527",,,,,,,,,,,,,1611-4426,1611-4434,,,,FEB,2021,86,1,,,,,41,48,,10.17660/eJHS.2021/86.1.5,http://dx.doi.org/10.17660/eJHS.2021/86.1.5,,,,,,,,,,,,,WOS:000620261700005,View Full Record in Web of Science
J,"da Costa, RR; Ferreira, TD; Felix, DT; de Lima, MAC",,,,"da Costa, Rayssa R.; Ferreira, Talita de O.; Felix, Debora T.; de Lima, Maria A. C.",,,IMPACT OF TRELLIS SYSTEMS AND ROOTSTOCKS ON GLOBAL PHENOLIC COMPOSITION AND ANTIOXIDANT ACTIVITY OF 'ISABEL PRECOCE' GRAPES PRODUCED DURING RAINY SEASONS IN SEMI-ARID REGION OF BRAZIL,CIENCIA E TECNICA VITIVINICOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416-3953,,,,,2021,36,2,,,,,126,138,,10.1051/ctv/ctv20213602126,http://dx.doi.org/10.1051/ctv/ctv20213602126,,,,,,,,,,,,,WOS:000705361000001,View Full Record in Web of Science
J,"Tecchio, MA; da Silva, MJR; Callili, D; Hernandes, JL; Moura, MF",,,,"Tecchio, Marco Antonio; Rodrigues da Silva, Marlon Jocimar; Callili, Daniel; Hernandes, Jose Luiz; Moura, Mara Fernandes",,,"Yield of white and red grapes, in terms of quality, from hybrids and Vitis labrusca grafted on different rootstocks",SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,"Moura, Mara Fernandes/AAJ-2253-2020; Hernandes, José Luiz JLH/E-1962-2013; Moura, Mara/AGY-9987-2022","Hernandes, José Luiz JLH/0000-0003-1788-9988; Moura, Mara/0000-0002-1327-5527",,,,,,,,,,,,,0304-4238,1879-1018,,,,03-Jan,2020,259,,,,,,,,108846,10.1016/j.scienta.2019.108846,http://dx.doi.org/10.1016/j.scienta.2019.108846,,,,,,,,,,,,,WOS:000490046400043,View Full Record in Web of Science
J,"Gutierrez-Gamboa, G; Gomez-Plaza, E; Bautista-Ortin, AB; Garde-Cerdan, T; Moreno-Simunovic, Y; Martinez-Gil, AM",,,,"Gutierrez-Gamboa, Gaston; Gomez-Plaza, Encarna; Bautista-Ortin, Ana B.; Garde-Cerdan, Teresa; Moreno-Simunovic, Yerko; Martinez-Gil, Ana M.",,,"Rootstock effects on grape anthocyanins, skin and seed proanthocyanidins and wine color and phenolic compounds from Vitis vinifera L. Merlot grapevines",JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,,,,,,,,,,,,,,,,,"MARTÍNEZ-GIL, ANA/GXV-8000-2022; Gutiérrez-Gamboa, Gastón/AAA-9109-2021; Martinez-Gil, Ana Maria/L-1342-2017; Garde-Cerdan, Teresa/E-2161-2018","Martinez-Gil, Ana Maria/0000-0002-2193-3956; Garde-Cerdan, Teresa/0000-0002-2054-9071; Gutierrez Gamboa, Gaston/0000-0003-3207-850X",,,,,,,,,,,,,0022-5142,1097-0010,,,,APR,2019,99,6,,,,,2846,2854,,10.1002/jsfa.9496,http://dx.doi.org/10.1002/jsfa.9496,,,,,,,,30447086,,,,,WOS:000461833600021,View Full Record in Web of Science
J,"de Brito, AL; Bonfim, WMD; Neto, ERD; de Lima, MAC",,,,"de Brito, Alanne Lucena; Danoa Bonfim, Wilyanne Monique; de Andrade Neto, Eugenio Ribeiro; Coelho de Lima, Maria Auxiliadora",,,Quality and antioxidant potential of 'BRS clara' and 'Arizul' grapes influenced by rootstocks in a tropical region,CIENCIA E AGROTECNOLOGIA,,,,,,,,,,,,,,,,,,"Danoa Bonfim, Wilyanne Monique/0000-0002-0858-5678; LUCENA DE BRITO, ALANNE/0000-0003-4127-2144",,,,,,,,,,,,,1413-7054,1981-1829,,,,,2019,43,,,,,,,,e000219,10.1590/1413-7054201943000219,http://dx.doi.org/10.1590/1413-7054201943000219,,,,,,,,,,,,,WOS:000473790500001,View Full Record in Web of Science
J,"da Silva, MJR; Paiva, APM; Pimentel, A; Sanchez, CAPC; Callili, D; Moura, MF; Leonel, S; Tecchio, MA",,,,"Rodrigues da Silva, Marlon Jocimar; Maia Paiva, Ana Paula; Pimentel Junior, Adilson; Pereira Contreras Sanchez, Camilo Andre; Callili, Daniel; Moura, Mara Fernandes; Leonel, Sarita; Tecchio, Marco Antonio",,,Yield performance of new juice grape varieties grafted onto different rootstocks under tropical conditions,SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,"Moura, Mara/AGY-9987-2022; Moura, Mara Fernandes/AAJ-2253-2020","Moura, Mara/0000-0002-1327-5527; Pereira Contreras Sanchez, Camilo Andre/0000-0003-0537-539X; Tecchio, Marco Antonio/0000-0001-7868-2265",,,,,,,,,,,,,0304-4238,1879-1018,,,,18-Nov,2018,241,,,,,,194,200,,10.1016/j.scienta.2018.06.085,http://dx.doi.org/10.1016/j.scienta.2018.06.085,,,,,,,,,,,,,WOS:000441486600023,View Full Record in Web of Science
J,"Angelotti-Mendonca, J; Moura, MF; Scarpare, JA; Vedoato, BTF; Tecchio, MA",,,,"Angelotti-Mendonca, Jessika; Moura, Mara Fernandes; Scarpare Filho, Joao Alexio; Ferracioli Vedoato, Bruna Thais; Tecchio, Marco Antonio",,,Rootstock on production and quality of 'Niagara Rosada' grapevine,REVISTA BRASILEIRA DE FRUTICULTURA,,,,,,,,,,,,,,,,,"Moura, Mara Fernandes/AAJ-2253-2020; Moura, Mara/AGY-9987-2022","Moura, Mara/0000-0002-1327-5527; Angelotti-Mendonca, Jessika/0000-0002-8147-5547",,,,,,,,,,,,,0100-2945,,,,,,2018,40,4,,,,,,,e-023,10.1590/0100-29452018023,http://dx.doi.org/10.1590/0100-29452018023,,,,,,,,,,,,,WOS:000443029700001,View Full Record in Web of Science
C,"Gao-Takai, M; Shinmura, A; Nito, H; Katayama-Ikegami, A",,"Du, Y; Doi, M; Son, JE",,"Gao-Takai, M.; Shinmura, A.; Nito, H.; Katayama-Ikegami, A.",,,"Comparison of vegetative growth, fruit quality and plant hormone content of 'Ruby Roman' grapevines grafted on diploid and tetraploid rootstocks",II ASIAN HORTICULTURAL CONGRESS,Acta Horticulturae,,,,2nd Asian Horticultural Congress (AHC),"SEP 26-28, 2016","Chengdu, PEOPLES R CHINA",Int Soc Horticultural Sci,,,,,,,,,,,,,,,,,,,,,,,0567-7572,2406-6168,978-94-62612-05-1,,,,2018,1208,,,,,,207,213,,10.17660/ActaHortic.2018.1208.27,http://dx.doi.org/10.17660/ActaHortic.2018.1208.27,,,,,,,,,,,,,WOS:000466559300027,View Full Record in Web of Science
J,"Vrsic, S",,,,"Vrsic, Stanko",,,ROOTING OF ROOTSTOCK 'BORNER' AND ITS COMPATIBILITY WITH VARIOUS WINE- AND TABLE-GRAPE VARIETIES,ACTA SCIENTIARUM POLONORUM-HORTORUM CULTUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644-0692,,,,,,2017,16,3,,,,,141,149,,10.24326/asphc.2017.3.14,http://dx.doi.org/10.24326/asphc.2017.3.14,,,,,,,,,,,,,WOS:000408091500014,View Full Record in Web of Science
J,"Ibacache, A; Albornoz, F; Zurita-Silva, A",,,,"Ibacache, Antonio; Albornoz, Francisco; Zurita-Silva, Andres",,,"Yield responses in Flame seedless, Thompson seedless and Red Globe table grape cultivars are differentially modified by rootstocks under semi arid conditions",SCIENTIA HORTICULTURAE,,,,,,,,,,,,,,,,,"Zurita-Silva, Andres/O-4991-2019; Albornoz, Francisco/I-6171-2016","Zurita-Silva, Andres/0000-0001-7274-2765; Albornoz, Francisco/0000-0003-4434-7631",,,,,,,,,,,,,0304-4238,1879-1018,,,,02-Jun,2016,204,,,,,,25,32,,10.1016/j.scienta.2016.03.040,http://dx.doi.org/10.1016/j.scienta.2016.03.040,,,,,,,,,,,,,WOS:000375887700004,View Full Record in Web of Science
J,"Stover, E; Inch, S; Richardson, ML; Hall, DG",,,,"Stover, Ed; Inch, Sharon; Richardson, Matthew L.; Hall, David G.",,,Conventional Citrus of Some Scion/Rootstock Combinations Show Field Tolerance under High Huanglongbing Disease Pressure,HORTSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0018-5345,2327-9834,,,,FEB,2016,51,2,,,,,127,132,,10.21273/HORTSCI.51.2.127,http://dx.doi.org/10.21273/HORTSCI.51.2.127,,,,,,,,,,,,,WOS:000371750300002,View Full Record in Web of Science
J,"Barros, LB; Biasi, LA; Carisse, O; De Mio, LLM",,,,"Barros, Luciane Bertoletti; Biasi, Luiz Antonio; Carisse, Odile; May De Mio, Louise Larissa",,,Incidence of grape anthracnose on different VITIS labrusca and hibrid cultivars and rootstocks combination under humid subtropical climate,AUSTRALASIAN PLANT PATHOLOGY,,,,,,,,,,,,,,,,,"Biasi, Luiz Antonio/HKF-7052-2023; May De Mio, Louise Larissa/K-3065-2012","Biasi, Luiz Antonio/0000-0002-3479-8925; May De Mio, Louise Larissa/0000-0002-4202-4428",,,,,,,,,,,,,0815-3191,1448-6032,,,,JUL,2015,44,4,,,,,397,403,,10.1007/s13313-015-0353-8,http://dx.doi.org/10.1007/s13313-015-0353-8,,,,,,,,,,,,,WOS:000359251800004,View Full Record in Web of Science
C,"Stover, E; Inch, S; Richardson, ML; Hall, DG",,,Fla State Hort Soc,"Stover, Ed; Inch, Sharon; Richardson, Matthew L.; Hall, David G.",,,Conventional Citrus of Some Scion/Rootstock Combinations Show Field Tolerance under High Huanglongbing Disease Pressure,"PROCEEDINGS OF THE FLORIDA STATE HORTICULTURAL SOCIETY, VOL 128, 2015",PROCEEDINGS OF THE FLORIDA STATE HORTICULTURAL SOCIETY,,,,128th Annual Meeting of the Florida-State-Horticultural-Society (FSHS),"MAY 31-JUN 02, 2015","St Augustine, FL","Florida State Hort Soc,BASF,Citrus Res & Dev Fdn Inc,Chem Dynam Inc,Florida Tomatos,Helena,JBT FoodTech,Plant Food Syst,Triangle C C,Valent BioSciences Cor,YARA",,,,,,,,,,,,,,,,,,,,,,,0886-7283,,,,,,2015,128,,,,,,98,103,,,,,,,,,,,,,,,,WOS:000724127900023,View Full Record in Web of Science
J,"Al Rwahnih, M; Rowhani, A; Smith, RJ; Uyemoto, JK; Sudarshana, MR",,,,"Al Rwahnih, M.; Rowhani, A.; Smith, R. J.; Uyemoto, J. K.; Sudarshana, M. R.",,,"GRAPEVINE NECROTIC UNION, A NEWLY RECOGNIZED DISEASE OF UNKNOWN ETIOLOGY IN GRAPEVINES GRAFTED ON 110 RICHTER ROOTSTOCK IN CALIFORNIA",JOURNAL OF PLANT PATHOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125-4653,2239-7264,,,,MAR,2012,94,1,,,,,149,156,,,,,,,,,,,,,,,,WOS:000302375300015,View Full Record in Web of Science
J,"Castle, WS; Bowman, KD; Baldwin, JC; Grosser, JW; Gmitter, FG",,,,"Castle, William S.; Bowman, Kim D.; Baldwin, James C.; Grosser, Jude W.; Gmitter, Frederick G., Jr.",,,"Rootstocks Affect Tree Growth, Yield, and Juice Quality of 'Marsh' Grapefruit",HORTSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0018-5345,2327-9834,,,,JUN,2011,46,6,,,,,841,848,,10.21273/HORTSCI.46.6.841,http://dx.doi.org/10.21273/HORTSCI.46.6.841,,,,,,,,,,,,,WOS:000292019800003,View Full Record in Web of Science
J,"Ezzahouani, A; Williams, LE",,,,"Ezzahouani, A; Williams, LE",,,Performance of Dattier de Beyrouth and Alphonse Lavallee grapevines on eight rootstocks under dry-land conditions,JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151-0285,,,,,APR-JUN,2005,39,2,,,,,91,94,,,,,,,,,,,,,,,,WOS:000230249800006,View Full Record in Web of Science
J,"Stover, E; Pelosi, R; Burton, M; Ciliento, S; Ritenour, M",,,,"Stover, E; Pelosi, R; Burton, M; Ciliento, S; Ritenour, M",,,"Performance of 'Oroblanco' and 'Melogold' pummelo x grapefruit hybrids on nine rootstocks on a calcareous, poorly drained soil",HORTSCIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0018-5345,,,,,FEB,2004,39,1,,,,,28,32,,10.21273/HORTSCI.39.1.28,http://dx.doi.org/10.21273/HORTSCI.39.1.28,,,,,,,,,,,,,WOS:000220211000004,View Full Record in Web of Science
J,"WALKER, MA; WOLPERT, JA; WEBER, E",,,,"WALKER, MA; WOLPERT, JA; WEBER, E",,,VITICULTURAL CHARACTERISTICS OF VR HYBRID ROOTSTOCKS IN A VINEYARD SITE INFECTED WITH GRAPEVINE FANLEAF VIRUS,VITIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0042-7500,,,,,MAR,1994,33,1,,,,,19,23,,,,,,,,,,,,,,,,WOS:A1994NM46600005,View Full Record in Web of Science
